course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This course will provide you with an internationally recognised Master’s degree to teach English to speakers of other languages, however, it will not provide you with a teaching qualification.,This course will enhance your career and educational prospects across a variety of professions including:",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Theory and Methodologies in TESOL (ED51073)
          ,
            Language Awareness and Practice in TESOL (ED51074)
          ,
            Research Methods for Professional Inquiry (PD50177)
          ,
            Reflecting Upon Practice (PD50189)
          ,
            Dissertation (PD50206)
          ",,
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Introduction to Literary Study (EN11001)
          ,
            Reading the Screen: An Introduction to Film Studies (EN11003)
          ,
            The Victorian Short Story (EN11004)
          ,
            Early Modern Literature, 1564-1740 (EN11006)
          ,
            Classic American Gothic (EN11014)
          ,
            Contemporary American Horror (EN11015)
          ,
            Stephen King's Fiction (EN11016)
          ,
            Classic Hollywood Cinema (EN12007)
          ,
            Europe: Space, Time and Peoples (EU11001)
          ,
            Human Futures (HU11001)
          ,
            The Globalizing World (HU12001)
          ,
            Making Memory (HU12003)
          ,
            Age of Revolution c.1688 to 1871 (HY11004)
          ,
            The Rise of Atlantic Empires, 1500-1750 (HY11005)
          ,
            Applied French 1A (Intensive) (PF11001)
          ,
            Applied French 1A (PF11003)
          ,
            Applied French 1B (Intensive) (PF12002)
          ,
            Applied French 1B (PF12004)
          ,
            Applied German 1A (Intensive) (PG11001)
          ,
            Applied German 1A (PG11003)
          ,
            Applied German 1B (Intensive) (PG12002)
          ,
            Applied German 1B (PG12004)
          ,
            Plato and the Good Life (PI11006)
          ,
            Descartes, Thought and Reality (PI11007)
          ,
            Introduction to Scientific Methods and Creativity (PI11008)
          ,
            Applied Spanish 1A (Intensive) (PS11001)
          ,
            Applied Spanish 1A (PS11003)
          ,
            Applied Spanish 1B (Intensive) (PS12002)
          ,
            Applied Spanish 1B (PS12004)
          ,
            Modernist to Contemporary Literature, 1901 to the Present day (EN21004)
          ,
            Romantic to Victorian Literature 1789-1901 (EN22002)
          ,
            Film Noir: Dark Side of the Street (EN22004)
          ,
            Contemporary Challenges for Europe (EU21002)
          ,
            Gender, Sexuality, Culture (HU21001)
          ,
            Contemporary America in Context (HU22001)
          ,
            Imperialism and Decolonisation 1850-2000 (HY21004)
          ,
            Scotland and the Wider World (HY22006)
          ,
            Applied French 2A (Intensive) (PF21001)
          ,
            Applied French 2A (PF21003)
          ,
            Applied French 2B (Intensive) (PF22002)
          ,
            Applied French 2B (PF22004)
          ,
            Applied German 2A (Intensive) (PG21001)
          ,
            Applied German 2A (PG21003)
          ,
            Applied German 2B (Intensive) (PG22002)
          ,
            Applied German 2B (PG22004)
          ,
            Thinking about life: Existentialism, Life World and Dasein (PI21004)
          ,
            Applied Spanish 2A (Intensive) (PS21001)
          ,
            Applied Spanish 2A (PS21003)
          ,
            Applied Spanish 2B (Intensive) (PS22002)
          ,
            Applied Spanish 2B (PS22004)
          ,
            Applied French 3: Language and Culture in Context (PF30002)
          ,
            The Scottish Diaspora, c.1700-1945 (HY31013)
          ,
            Holland in the Age of Rembrandt (HY31020)
          ,
            Making History: Issues in the Study of the Past (HY31029)
          ,
            The Invasion of America: The Native American Response to the European Colonisation of North America, 1492-1763 (HY31037)
          ,
            Women and Gender in Twentieth-Century Europe (HY31038)
          ,
            Life at the Margins: Sinners, Deviants and Outcasts in Early Modern Scotland, c.1550-c.1750 (HY31041)
          ,
            The Jewel and the Crown: India and the Making of the British Empire (HY32002)
          ,
            Questions of Ulster, 1885 to the present (HY32010)
          ,
            Imperial Spain, 1476-1840 (HY32017)
          ,
            America in the Sixties (HY32032)
          ,
            Contemporary African History (HY32035)
          ,
            Applied French 4: Language and Culture in Context (PF40002)
          ,
            Writing History (HU41001)
          ,
            History of the Book, 1500-1800 (HU42001)
          ,
            Investigating the Archive in the 21st Century (HU42002)
          ,
            Research Dissertation (HY40001)
          ,
            The Italian Renaissance (HY40002)
          ,
            Colonialism, Science and Medicine in Modern India (HY40004)
          ,
            Revolution in Ireland 1912-1923 (HY41024)
          ,
            Modern South Africa: Apartheid, African liberation and democracy (HY41053)
          ,
            Scotland: Restoration, Revolution and Union, 1660-1707 (HY41056)
          ,
            Slavery: History, Memory, Legacy (HY41057)
          ,
            Settling the Trans-Appalachian West, ca. 1774-1830 (HY42052)
          ,
            The Scottish Highlands and Islands: Health, Politics and Society  1750-1948 (HY42058)
          ,
            Crime and Criminal Justice in Britain and Europe 1750-1914 (HY42059)
          ,
            Everyday Life in Early Modern Scotland (HY42060)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,6.0,6.0,5.5,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Most students on this course are already in full time employment, and a number move into senior management positions during, or just after, their time studying with us.,This course can help you influence your own professional learning journey and take control of your own Continual Professional Development, enhancing your prospects for future career advancement.,This course is not an initial teaching course and will not qualify you to teach in Scotland.",
,,,,,,,,,,,,,,," £ 6,195"," £ 2,415",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
            Theory and Methodologies in TESOL (ED51073)
          ,
            Language Awareness and Practice in TESOL (ED51074)
          ,
            Research Methods for Professional Inquiry (PD50177)
          ,
            Reflecting Upon Practice (PD50189)
          ,
            Dissertation (PD50206)
          ",,
,,,,,,,,,,,,,,,,,,,,,5.5,6.0,6.0,5.5,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
Art & Philosophy BA (Hons),Duncan of Jordanstone College of Art & Design,,https://www.dundee.ac.uk/undergraduate/art-philosophy,3 years,years,Full Time,Undergraduate,,,September,,,Dundee City Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art & Philosophy brings together Fine Art at Duncan of Jordanstone College of Art & Design and Philosophy at the School of Humanities.,You will be taught by artists of international standing and by respected practising philosophers. The Philosophy section of the course will introduce you to advanced philosophical approaches towards contemporary issues in politics, ethics, art, film, literature and the sciences.,You will have the freedom to explore and develop your own interests, at your own pace, building strong foundations for a successful career in the creative industries.,You are free to explore a wide range of mediums using our high quality studio spaces to support your practice. These include:,We offer opportunities to exhibit your work as you progress, culminating in our Degree Show in the final year.,Philosophy modules introduce you to advanced philosophical approaches towards contemporary issues within art, ethics, film, literature, technology, and the sciences.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As societies move to become more sustainable and develop low-carbon economies, this course will place you in the fast growing area of energy, environment, society, and governance (EESG) sections of firms, governments, and consultancies,It will give you the necessary skills and knowledge to take up a wide range of careers in:",
,,,,,,,,,,,,,,," £ 18,150"," £ 7,650",Year,2020,Pound Sterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.5,56,56,56,56,62,21,20,23,20,88,6.5,5.5,5.5,5.5,6.0,6.5,,,,,,,,,,,
